Id,PropertyClass,ZoningCategory,LandArea,RoadType,PlotShape,LandElevation,UtilityAccess,PlotConfiguration,LandSlope,District,NearbyTransport1,NearbyTransport2,PropertyType,HotelStyle,OverallQuality,OverallCondition,ConstructionYear,RenovationYear,RoofDesign,RoofMaterial,ExteriorPrimary,ExteriorSecondary,FacadeArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementHeight,BasementCondition,BasementExposure,BasementFacilityType1,BasementFacilitySF1,BasementFacilityType2,BasementFacilitySF2,BasementUnfinishedSF,BasementTotalSF,HeatingType,HeatingQuality,CentralAC,ElectricalSystem,GroundFloorArea,UpperFloorArea,LowQualityArea,UsableArea,BasementFullBaths,BasementHalfBaths,FullBaths,HalfBaths,GuestRooms,Kitchens,KitchenQuality,TotalRooms,PropertyFunctionality,Lounges,ParkingCapacity,ParkingArea,DrivewayType,TerraceArea,OpenVerandaArea,EnclosedVerandaArea,SeasonalPorchArea,ScreenPorchArea,SwimmingPoolArea,ExtraFacilityValue,MonthSold,YearSold,DealType,DealCondition,HotelValue
775,-0.8675661948612713,RL,0.3350394552863423,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,1.3687766911653751,-0.5231298866160364,1.1342780111045527,1.0128219018732783,Hip,CompShg,VinylSd,VinylSd,1.5828093444896993,Gd,TA,PConc,Gd,TA,Av,Unf,-0.9718667657531764,Unf,-0.28409712080085825,3.0472526522118932,1.9779485778055812,GasA,Gd,Y,SBrkr,2.07685568204207,-0.7990489284972221,-0.11737913368279436,0.8600578547593748,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,Gd,1.5172387494454498,Typ,0.5941361787118566,1.645137198812023,1.9799298985907767,Y,1.6952622562973134,-0.061863937773997506,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.24129636079427316,-0.6223005063154001,New,Partial,395000.0
673,-0.8675661948612713,RL,0.05527207565049196,Pave,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,-0.0899551289042962,0.37494717195226707,0.1859351529146442,-0.3883946913202582,Gable,CompShg,Plywood,Plywood,-0.5980830966231374,Gd,TA,CBlock,Gd,TA,No,ALQ,0.6945195410967951,Unf,-0.28409712080085825,-0.28920630182770396,0.32972579611333713,GasA,TA,Y,SBrkr,0.10022671581683254,-0.7990489284972221,-0.11737913368279436,-0.6076012957797158,1.095229229837857,-0.24135945019148206,-1.0590945989020073,1.240487103598026,0.14607524948015102,-0.2119105538809366,TA,-0.3406046172224478,Typ,0.5941361787118566,0.2911148129585062,0.3251678539330319,Y,0.7891915004447927,-0.10527722743996068,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.13232381075814997,-1.3781310807876073,WD,Normal,165000.0
234,-0.8675661948612713,RL,-0.0011326379857681949,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,-0.8193210389391319,0.37494717195226707,0.15323367504602667,-0.43671250487865604,Gable,CompShg,HdBoard,HdBoard,-0.5980830966231374,TA,TA,CBlock,TA,Gd,Av,LwQ,-0.5764530658226747,ALQ,4.237578301356537,-1.2740646677791514,-0.3821613475611672,GasA,TA,Y,SBrkr,-0.7110955003854218,-0.7990489284972221,-0.11737913368279436,-1.2100130255434733,1.095229229837857,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,TA,-0.9598857394450803,Typ,-0.9625524991358024,-1.0629075728950106,-0.8032945146301295,Y,2.082471981020613,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-1.6268044969678424,1.6451912171012213,WD,Normal,128200.0
427,0.5389811149791145,RL,0.20098425254416402,Pave,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,0.6394107811305394,-0.5231298866160364,0.5783528873380546,0.19141907138051553,Gable,CompShg,Wd Sdng,Wd Sdng,0.24519531394049274,Gd,TA,PConc,Gd,TA,Gd,GLQ,2.3261442039968325,Unf,-0.28409712080085825,-1.2740646677791514,1.0325443137537713,GasA,Gd,Y,SBrkr,1.226776035129517,-0.7990489284972221,-0.11737913368279436,0.2288684945928901,1.095229229837857,4.01792496495232,0.7748354424867502,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,Gd,-0.9598857394450803,Typ,0.5941361787118566,0.2911148129585062,0.43422093997064826,Y,-0.12462344990219393,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,6.706588676717823,-0.07003516436576918,-0.09148494836611275,0.6149165323466963,0.8893606426290142,WD,Normal,275000.0
197,-0.8675661948612713,RL,-0.11713833236434325,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,0.6394107811305394,-0.5231298866160364,1.1669794889731702,1.0611397154316762,Hip,CompShg,CemntBd,CmentBd,0.5941381045185467,Ex,TA,PConc,Ex,TA,No,GLQ,1.474483927223444,Unf,-0.28409712080085825,0.06587868725683148,1.5041128675254176,GasA,Ex,Y,SBrkr,1.4386499896791503,-0.7990489284972221,-0.11737913368279436,0.38618620746113247,1.095229229837857,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,Ex,0.8979576272228172,Typ,0.5941361787118566,1.645137198812023,1.4631130995429424,Y,0.580098249094211,1.2839480418708609,-0.34877482690697265,-0.12244894796701473,4.414652009843817,-0.07003516436576918,-0.09148494836611275,0.9885367038991194,-0.6223005063154001,New,Partial,311872.0
1227,0.07013201169898592,RL,0.3700103777408236,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Feedr,Norm,1Fam,2Story,-0.0899551289042962,-0.5231298866160364,1.1669794889731702,1.0611397154316762,Gable,CompShg,VinylSd,VinylSd,-0.167720321576871,Gd,TA,PConc,Gd,TA,Mn,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.722450931224463,-0.3821613475611672,GasA,Ex,Y,SBrkr,-0.7110955003854218,1.5733181517600916,-0.11737913368279436,0.7833175070187688,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,1.240487103598026,1.3892688620771794,-0.2119105538809366,Gd,1.5172387494454498,Typ,0.5941361787118566,1.645137198812023,0.9036233537847363,Y,0.030260439987125843,-0.4525835447676661,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-2.0004246685202656,0.133530068156807,WD,Normal,214000.0
82,1.4766793215393716,RM,-0.5792809527574347,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,-0.0899551289042962,-0.5231298866160364,0.8726661881556124,0.6262793934060958,Hip,CompShg,VinylSd,VinylSd,1.9782778404781605,TA,Gd,PConc,Ex,Gd,No,GLQ,1.6374291332387607,Unf,-0.28409712080085825,-1.1936680664769923,0.39547333486034547,GasA,Ex,Y,SBrkr,0.433540619925402,-0.7990489284972221,-0.11737913368279436,-0.3601136743162613,1.095229229837857,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,TA,-0.9598857394450803,Typ,-0.9625524991358024,0.2911148129585062,-0.3433749778627906,Y,-0.744159009459473,2.1666849317454453,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-1.2531843254154194,-1.3781310807876073,WD,Normal,153500.0
1369,1.4766793215393716,RM,-0.5853914634013629,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,-0.0899551289042962,-0.5231298866160364,1.0361735774987,0.9161862747564827,Gable,CompShg,VinylSd,VinylSd,0.39058814334801517,Gd,TA,PConc,Gd,TA,Av,GLQ,0.5163661158533822,Unf,-0.28409712080085825,-0.9100467229943761,-0.4864505469529736,GasA,Ex,Y,SBrkr,-0.829951621230338,-0.7990489284972221,-0.11737913368279436,-1.2982644254451703,1.095229229837857,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,-2.3403119757139055,-0.2119105538809366,Gd,-1.5791668616677128,Typ,-0.9625524991358024,0.2911148129585062,-0.2722534000121712,Y,0.3400282197657654,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.13232381075814997,0.8893606426290142,WD,Normal,144000.0
1126,-0.8675661948612713,RL,-0.021438334894821852,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,-1.5486869489739674,-0.5231298866160364,-0.5334973601949415,-1.4513865896050102,Gable,CompShg,Plywood,Plywood,-0.5980830966231374,TA,TA,CBlock,TA,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.97034045190612,-0.13050697511572143,GasA,TA,Y,SBrkr,-0.42429051312921084,-0.7990489284972221,-0.11737913368279436,-0.9970585605632915,-0.8234205158634983,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,Fa,-0.9598857394450803,Typ,0.5941361787118566,0.2911148129585062,0.9225891078782349,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,1.7357770470039657,0.8893606426290142,WD,Normal,115000.0
112,0.5389811149791145,RL,-0.27375542056102564,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,0.6394107811305394,-0.5231298866160364,0.9380691438928475,0.7229150205228915,Gable,CompShg,VinylSd,VinylSd,-0.5980830966231374,TA,TA,PConc,Gd,TA,No,GLQ,-0.4287160790354543,Unf,-0.28409712080085825,-0.9748106518211151,-1.5384111669051075,GasA,Ex,Y,SBrkr,-1.021154946067812,0.6988074763620635,-0.11737913368279436,-0.18169236581935225,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,1.240487103598026,0.14607524948015102,-0.2119105538809366,TA,0.2786765050001847,Typ,0.5941361787118566,0.2911148129585062,-0.3670821704796637,Y,0.6497959995444049,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.8795641538629962,1.6451912171012213,WD,Normal,180000.0
